[BeGaze]
Converted from:	F:\1. ON ROAD - Track\008 AH\008 AH 20130915 Rested\SMI\Part2\008 AH 201230915 - Rested part2.idf
Date:	08.08.2014 16:51:41
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	008 AH 201230915 - Rested part2
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Saccade L	1	1	12937842199	12937882439	40240	470.71	948.08	453.57	579.00	30.19	2527.45	0.00	750.35	5734.59	-38451.81	18563.52
Saccade L	1	2	12937982395	12938041946	59551	442.09	585.66	444.63	600.59	46.75	2300.08	0.66	785.10	56748.64	-57384.39	36781.09
Saccade L	1	3	12938261691	12938301732	40041	458.64	574.53	459.07	565.50	33.63	2093.83	0.51	839.92	52138.36	-52079.15	51834.17
Saccade L	1	4	12938701229	12938721210	19981	420.13	505.03	419.53	504.15	0.07	5.60	1.00	3.74	56.82	-8.85	38.98
Saccade L	1	5	12941518061	12941579015	60954	399.42	439.56	255.48	292.66	6.47	209.32	0.66	106.18	5229.09	-3814.27	3169.32
Saccade L	1	6	12941757822	12941778892	21070	199.02	274.26	134.44	281.58	1.91	166.08	1.00	90.48	3964.82	-3908.48	2968.74
Saccade L	1	7	12942177649	12942197330	19681	148.41	322.69	149.66	324.26	0.10	5.87	1.00	5.20	-17.96	-58.27	35.24
Saccade L	1	8	12942556942	12942577146	20204	185.96	274.01	183.24	221.33	1.50	145.15	0.00	74.43	3286.49	-3268.14	3243.89
Saccade L	1	9	12945693430	12945833357	139927	225.96	511.13	136.09	458.49	120.95	1399.74	0.00	864.38	34993.60	-32242.26	20277.90
Saccade L	1	10	12950608004	12950707819	99815	565.06	658.85	523.75	879.44	43.10	2116.46	0.00	431.80	13930.67	-50229.97	15345.45
Saccade L	1	11	12950827715	12950868929	41214	514.97	888.86	464.41	491.23	15.11	1362.34	1.00	366.55	33918.90	-34017.29	22005.26
Saccade L	1	12	12952166526	12952186208	19682	494.86	486.31	485.45	446.46	1.09	106.81	0.00	55.13	2592.20	-2466.82	2498.34
Saccade L	1	13	12954583464	12954643501	60037	190.64	220.44	215.73	31.90	21.72	740.69	0.00	361.77	8437.15	-14127.78	8884.79
Saccade L	1	14	12954743338	12954843258	99920	236.39	110.38	270.70	80.77	6.47	119.29	1.00	64.78	1802.41	-1565.38	930.43
Saccade L	1	15	12955363772	12955382588	18816	443.87	263.82	443.98	266.60	0.11	7.09	1.00	5.60	40.87	-95.37	63.02
Saccade L	1	16	12957440423	12957460810	20387	409.98	273.72	387.89	266.41	0.70	69.97	0.00	34.55	1432.20	-1584.76	1463.36
Saccade L	1	17	12957839795	12957880084	40289	-2.68	766.73	98.44	463.65	52.02	2618.61	0.51	1291.15	65465.17	-64870.09	44669.84
Saccade L	1	18	12958099678	12958119868	20190	155.67	424.82	157.78	418.58	0.30	16.85	1.00	14.87	63.88	-70.23	49.38
Saccade L	1	19	12958360527	12958399372	38845	163.55	371.86	165.37	362.87	33.60	2155.62	0.48	864.92	53628.23	-53570.47	53391.96
Saccade L	1	20	12959038656	12959078753	40097	190.46	306.88	211.66	177.69	3.71	178.32	0.50	92.42	4409.64	-1945.01	2910.09
Saccade L	1	21	12959318581	12959338210	19629	213.38	115.98	256.29	104.10	1.15	113.76	1.00	58.75	2724.42	-2511.71	2610.52
Saccade L	1	22	12959558287	12959577851	19564	288.74	148.05	286.87	152.21	0.25	14.60	1.00	12.64	218.16	-73.30	113.41
Saccade L	1	23	12960058559	12960077490	18931	327.50	195.37	390.04	198.15	1.50	159.95	1.00	79.28	3850.39	-2837.31	3347.87
Saccade L	1	24	12960517001	12960536853	19852	451.11	222.02	451.78	225.11	0.09	8.08	1.00	4.41	160.27	-114.75	135.87
Saccade L	1	25	12965871101	12965952403	81302	420.19	210.08	174.89	212.96	8.86	188.00	0.73	108.98	4220.39	-2348.81	2186.72
Saccade L	1	26	12966769987	12966789941	19954	139.00	226.91	204.40	208.48	1.20	173.59	1.00	59.90	4322.73	-4213.29	3113.25
Saccade L	1	27	12967309428	12967329389	19961	209.61	273.32	206.09	356.76	2.76	213.36	1.00	138.52	5199.78	-4811.01	3596.22
Saccade L	1	28	12967509212	12967529104	19892	200.00	420.69	168.60	485.45	1.98	183.89	1.00	99.44	3975.80	-3217.30	2974.58
Saccade L	1	29	12967629091	12967768867	139776	141.36	515.72	151.80	560.52	78.20	1436.87	0.29	559.46	35124.33	-35309.17	29067.88
Saccade L	1	30	12967949041	12968008600	59559	186.91	503.54	209.24	514.09	2.65	120.39	1.00	44.50	2502.11	-616.54	951.59
Saccade L	1	31	12968128336	12968149785	21449	243.51	562.94	247.94	554.95	0.39	23.34	1.00	18.24	319.40	-125.73	207.30
Saccade L	1	32	12968408100	12968428208	20108	280.93	508.09	307.48	513.94	0.63	69.50	1.00	31.57	1532.68	-1585.83	1421.94
Saccade L	1	33	12969287092	12969307161	20069	319.83	445.92	322.20	442.90	0.26	20.80	1.00	12.77	411.22	-157.30	220.15
Saccade L	1	34	12969747063	12969766594	19531	302.64	478.99	286.75	510.86	0.60	91.01	1.00	30.84	2233.20	-2007.37	1549.13
Saccade L	1	35	12970206098	12970247062	40964	292.78	538.59	332.23	543.11	36.43	2227.66	0.49	889.35	55343.57	-55612.42	55050.27
Saccade L	1	36	12970925222	12971005103	79881	338.32	564.61	329.80	563.04	72.22	1583.85	1.00	904.14	39194.40	-39447.42	26212.16
Saccade L	1	37	12971224910	12971245191	20281	322.23	480.78	320.79	470.31	0.47	31.84	1.00	23.40	-120.36	-456.11	330.63
Saccade L	1	38	12971924215	12971945293	21078	312.70	422.62	312.44	422.17	0.07	7.11	1.00	3.37	67.84	-144.26	74.20
Saccade L	1	39	12972663244	12972683401	20157	328.00	418.94	349.72	421.62	0.50	55.92	1.00	24.90	1338.91	-1132.72	1001.10
Saccade L	1	40	12973222764	12973302581	79817	636.43	605.71	528.19	188.11	88.70	2140.04	0.00	1111.29	30244.39	-24634.11	19429.28
