[BeGaze]
Converted from:	F:\1. ON ROAD - Track\003 RB\003 RB 20130202 Rested\SMI\003RB 20130201 - Rested.idf
Date:	08.08.2014 15:40:53
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	003RB 20130201 - Rested
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Saccade L	1	1	6312994602	6313054455	59853	376.39	238.66	176.03	420.81	7.96	271.71	0.68	133.04	6384.76	-5685.52	4531.80
Saccade L	1	2	6313235342	6313254273	18931	139.17	450.68	124.01	478.60	0.47	81.19	1.00	24.59	1952.68	-1973.31	1343.45
Saccade L	1	3	6316850213	6316930308	80095	368.74	175.04	372.20	191.39	73.77	1146.79	1.00	920.98	509.86	-26308.57	9130.25
Saccade L	1	4	6318248717	6318268622	19905	378.56	221.86	417.42	224.96	0.59	99.64	1.00	29.55	2469.77	-2312.10	1689.40
Saccade L	1	5	6320426462	6320486246	59784	357.50	226.38	365.29	183.35	32.39	1068.87	0.00	541.86	23005.94	-25736.01	15472.81
Saccade L	1	6	6321305244	6321325551	20307	338.96	224.24	314.56	224.42	0.84	66.14	0.00	41.22	1548.01	-1533.14	1278.64
Saccade L	1	7	6322344066	6322464037	119971	375.01	200.28	372.07	222.20	116.29	1129.40	1.00	969.32	263.72	-27254.70	7073.83
Saccade L	1	8	6324781372	6324841347	59975	366.55	229.17	263.69	398.20	5.88	219.29	0.69	98.02	5437.84	-4358.53	3668.79
Saccade L	1	9	6324941241	6324981116	39875	258.64	424.56	477.26	449.06	23.52	1629.40	1.00	589.89	40234.10	-40674.73	35545.78
Saccade L	1	10	6325979987	6326040026	60039	378.76	466.50	342.92	464.68	3.13	202.01	1.00	52.12	4866.47	-1898.38	1729.79
Saccade L	1	11	6326159843	6326179735	19892	251.82	462.36	250.66	461.43	0.11	7.22	1.00	5.57	144.13	-55.74	83.46
Saccade L	1	12	6326539455	6326559350	19895	249.73	370.97	251.86	361.18	0.47	31.21	1.00	23.60	341.22	37.38	172.51
Saccade L	1	13	6326659285	6326679224	19939	277.35	287.38	280.39	276.79	0.79	98.27	1.00	39.46	-236.77	-1752.79	761.80
Saccade L	1	14	6342781362	6342802339	20977	377.78	231.87	424.45	249.48	13.03	1238.62	1.00	621.13	3186.63	-3186.63	3126.02
Saccade L	1	15	6348196345	6348255082	58737	399.19	245.93	320.80	242.23	3.77	141.35	1.00	64.24	3233.23	-1718.01	1531.82
Saccade L	1	16	6348914374	6348934550	20176	400.37	231.90	434.63	232.74	0.74	87.57	1.00	36.51	2129.96	-2138.59	1825.07
Saccade L	1	17	6349433926	6349473711	39785	427.57	236.05	427.21	235.56	19.70	1236.28	0.50	495.11	30864.60	-30858.20	30854.11
Saccade L	1	18	6349833392	6350013419	180027	394.38	241.24	224.41	542.19	94.71	1446.03	0.56	526.07	29842.29	-34350.73	17353.78
Saccade L	1	19	6350113181	6350152997	39816	250.17	530.10	254.96	530.67	22.45	1318.82	1.00	563.95	32247.96	-32559.29	31697.93
Saccade L	1	20	6350432736	6350512627	79891	268.77	511.51	271.65	506.99	40.66	1761.71	0.25	508.90	43884.94	-43821.59	29246.92
Saccade L	1	21	6351511489	6351631371	119882	193.05	316.15	224.41	314.91	91.32	985.69	0.68	761.76	23456.04	-24301.81	9129.52
Saccade L	1	22	6353590201	6353609109	18908	313.45	220.10	262.03	229.42	1.41	145.81	0.00	74.82	3067.94	-3416.65	3222.64
Saccade L	1	23	6355227384	6355247354	19970	387.63	228.38	379.14	263.48	0.71	92.28	1.00	35.34	1574.80	-579.33	818.24
Saccade L	1	24	6355626873	6355646843	19970	390.47	288.99	398.94	380.65	2.31	235.13	1.00	115.56	5770.33	-5783.44	4270.81
Saccade L	1	25	6357005354	6357045354	40000	388.73	257.81	392.89	264.37	19.92	1192.75	1.00	498.06	29094.25	-28893.49	28606.20
Saccade L	1	26	6358743392	6358803371	59979	372.34	230.02	381.89	321.81	25.08	1140.27	0.68	418.20	28402.54	-26593.04	22004.96
Saccade L	1	27	6359862179	6359883179	21000	398.93	382.17	397.36	383.50	0.12	7.58	1.00	5.64	70.68	10.67	49.42
Saccade L	1	28	6360161868	6360261744	99876	338.96	218.05	347.99	243.71	46.05	1224.40	1.00	461.12	29091.28	-30553.48	20556.54
Saccade L	1	29	6360801122	6360882069	80947	367.32	225.21	380.68	356.76	34.68	1310.07	1.00	428.39	28852.99	-32695.98	21140.99
Saccade L	1	30	6361720148	6361740124	19976	401.32	426.84	401.24	430.32	0.17	9.29	1.00	8.39	11.30	-65.91	29.02
Saccade L	1	31	6363598126	6363617997	19871	399.72	244.55	376.49	234.26	0.78	80.84	1.00	39.37	1866.57	-1542.87	1631.24
Saccade L	1	32	6365156308	6365356048	199740	359.49	217.02	402.84	370.80	162.71	1372.42	1.00	814.60	31133.67	-34107.98	19427.02
Saccade L	1	33	6367175056	6367214002	38946	385.03	286.05	412.54	468.23	22.55	1555.49	1.00	579.03	36070.68	-38782.81	33688.36
Saccade L	1	34	6373706738	6373767717	60979	352.77	194.82	369.24	187.67	31.95	1046.76	1.00	523.95	24177.30	-26106.32	15460.79
Saccade L	1	35	6375604636	6375684506	79870	343.24	269.27	376.50	451.62	34.57	1469.60	1.00	432.84	32354.70	-36569.92	22680.27
Saccade L	1	36	6377742223	6377763105	20882	399.35	227.17	402.19	225.75	0.15	8.12	1.00	7.37	31.80	-73.96	37.27
Saccade L	1	37	6382197308	6382217225	19917	361.29	248.45	316.42	238.72	0.71	117.31	1.00	35.88	2819.32	-2768.86	2018.94
Saccade L	1	38	6383256933	6383276001	19068	324.12	218.45	268.47	192.80	1.04	156.58	1.00	54.65	3624.84	-3775.59	2666.82
Saccade L	1	39	6385893028	6385953974	60946	373.95	195.30	375.62	195.41	32.84	1069.51	1.00	538.77	24951.02	-25490.73	15734.96
Saccade L	1	40	6386931840	6386952934	21094	358.70	232.98	326.28	227.15	0.54	84.18	1.00	25.42	2063.60	-1922.48	1386.60
Saccade L	1	41	6389209349	6389250307	40958	315.32	209.75	330.60	219.47	23.98	1003.75	1.00	585.40	23970.64	-24995.44	18480.04
Saccade L	1	42	6390088329	6390188214	99885	366.95	227.73	399.71	225.74	33.37	1209.63	1.00	334.08	30228.41	-30124.49	18356.70
