[BeGaze]
Converted from:	F:\1. ON ROAD - Track\007 DV\007 DV Rested 20130427\SMI\007 DV 20130427 - Rested.idf
Date:	12.08.2014 13:44:34
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	007 DV 20130427 - Rested
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Saccade L	1	1	5778926936	5778946880	19944	469.13	199.69	474.41	210.68	0.45	51.89	0.00	22.50	761.33	-1141.09	862.66
Saccade L	1	2	5779825923	5779845917	19994	510.65	180.66	534.00	173.61	0.40	62.34	1.00	20.09	1463.74	-1490.50	1055.23
Saccade L	1	3	5780565390	5780585023	19633	516.31	189.47	450.14	195.82	1.56	169.85	1.00	79.64	4229.85	-4180.94	2811.39
Saccade L	1	4	5781384004	5781524106	140102	803.56	329.82	805.21	322.95	47.07	2117.89	0.00	336.00	15199.33	-52861.53	12674.02
Saccade L	1	5	5781723810	5781743679	19869	871.51	344.34	904.79	349.15	1.41	191.61	0.00	71.14	2029.98	-4732.39	2952.02
Saccade L	1	6	5782143260	5782163627	20367	837.46	321.82	834.69	320.06	0.18	9.72	1.00	8.81	40.76	-33.40	27.04
Saccade L	1	7	5782343040	5782364143	21103	791.55	360.96	788.59	361.66	0.90	143.44	1.00	42.55	-52.87	-3391.38	1225.31
Saccade L	1	8	5784280910	5784340758	59848	379.78	131.31	205.33	122.32	15.55	1016.19	0.00	259.84	3163.80	-20985.24	5738.31
Saccade L	1	9	5784680499	5784720417	39918	45.64	113.67	111.54	129.48	4.33	312.75	0.00	108.45	2454.78	-5942.38	2591.64
Saccade L	1	10	5784880282	5784900193	19911	193.91	145.16	191.99	122.72	0.42	57.58	1.00	21.15	1067.08	-1425.62	901.31
Saccade L	1	11	5785460653	5785519532	58879	271.29	268.67	265.73	394.07	34.08	1653.04	1.00	578.75	39321.29	-41214.89	32192.18
Saccade L	1	12	5785779290	5785839158	59868	188.68	375.76	181.34	372.42	32.52	1619.31	1.00	543.20	40289.97	-40331.74	32256.37
