[BeGaze]
Converted from:	F:\1. ON ROAD - Track\009 JA\009 JA 20131027 Rested\SMI\009 JA 201231027 - Rested.idf
Date:	08.08.2014 16:30:13
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	009 JA 201231027 - Rested
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Saccade L	1	1	5449105960	5449144717	38757	237.80	293.98	231.91	250.65	21.89	957.34	0.00	564.81	23933.60	-22851.80	17465.00
Saccade L	1	2	5449823989	5449843968	19979	186.68	257.56	145.66	260.53	1.16	122.20	0.00	58.07	2603.21	-2954.20	2694.54
Saccade L	1	3	5451941623	5451981608	39985	450.12	259.41	328.54	282.33	2.79	165.16	1.00	69.72	4085.99	-3901.02	3729.70
Saccade L	1	4	5455357860	5455377907	20047	269.88	266.85	317.50	335.44	6.93	1164.13	1.00	345.89	28984.05	-5332.35	13204.72
Saccade L	1	5	5462629658	5462749532	119874	289.02	317.74	299.15	263.39	118.57	1692.86	1.00	989.11	375.63	-25148.38	8760.17
Saccade L	1	6	5463848218	5463908155	59937	77.56	762.36	2.83	0.00	66.71	1887.11	0.00	1113.05	34347.61	-46900.21	28184.26
Saccade L	1	7	5465905995	5465926164	20169	391.70	282.88	445.71	418.20	15.70	1524.97	1.00	778.26	16761.93	7718.20	11258.71
Saccade L	1	8	5466005992	5466045863	39871	362.54	223.55	356.90	223.63	34.30	1075.72	0.00	860.20	835.12	-26429.98	13342.41
Saccade L	1	9	5466405488	5466425416	19928	333.14	245.18	342.13	327.09	7.02	1192.19	1.00	352.04	29746.67	-5262.23	13397.40
Saccade L	1	10	5466985046	5467024664	39618	368.14	456.42	379.94	460.55	23.53	1491.27	1.00	593.87	37163.00	-37273.79	36884.47
Saccade L	1	11	5468742784	5469362111	619327	26.14	535.99	4.23	0.00	380.66	1346.14	0.00	614.64	33529.65	-33538.95	18702.35
Saccade L	1	12	5469801745	5469821586	19841	371.75	243.23	419.16	242.37	0.69	121.17	1.00	34.60	2863.39	-3018.60	2026.23
Saccade L	1	13	5471519746	5471539672	19926	343.30	288.37	282.93	304.09	1.57	159.40	1.00	78.84	3872.77	-3270.75	3552.05
Saccade L	1	14	5471780417	5471799487	19070	211.05	300.66	211.45	281.86	0.30	48.05	1.00	15.66	1107.03	-1035.28	760.15
Saccade L	1	15	5472618398	5472738281	119883	362.61	276.94	460.17	248.52	6.06	206.85	1.00	50.55	4999.98	-5047.58	1886.82
Saccade L	1	16	5472958107	5472979038	20931	519.06	257.71	431.80	260.11	2.11	222.98	1.00	100.98	5418.59	-5276.40	4805.07
Saccade L	1	17	5474895906	5474935969	40063	366.68	281.24	315.28	279.04	21.80	1357.63	1.00	544.10	33849.43	-33757.02	33026.07
Saccade L	1	18	5475595246	5475635122	39876	367.45	257.74	369.41	257.82	19.64	1227.41	0.50	492.47	30636.18	-30587.60	30590.61
Saccade L	1	19	5475854781	5475894774	39993	392.38	268.07	393.74	265.61	20.56	1282.95	0.53	513.99	32012.56	-31995.02	31911.43
Saccade L	1	20	5477133458	5477213322	79864	345.38	374.54	369.38	284.05	69.31	1280.33	0.00	867.80	32008.14	-29335.01	16036.53
Saccade L	1	21	5478092277	5478112373	20096	295.39	301.67	292.62	302.34	0.89	155.16	1.00	44.50	-104.25	-3697.18	1327.24
Saccade L	1	22	5479390997	5479510869	119872	378.34	344.19	345.79	290.78	52.78	1285.20	0.00	440.32	30093.32	-30708.94	19527.31
Saccade L	1	23	5479671549	5479710583	39034	352.28	289.56	325.85	285.94	19.94	1276.25	1.00	510.84	31774.94	-31827.03	31610.84
Saccade L	1	24	5480489654	5480529702	40048	399.27	445.04	395.05	449.29	24.02	1494.20	1.00	599.79	37310.41	-37290.13	37256.05
Saccade L	1	25	5481428785	5481448576	19791	355.95	301.86	443.21	421.65	15.24	1526.27	1.00	770.12	16530.98	8756.96	11580.99
Saccade L	1	26	5481528616	5481569421	40805	364.02	251.52	362.76	251.20	37.02	1116.46	0.00	907.33	1925.59	-24192.42	12583.42
Saccade L	1	27	5482307739	5482427623	119884	371.88	440.91	382.98	439.24	108.80	1460.46	0.50	907.53	34934.78	-36355.69	18181.87
Saccade L	1	28	5482687149	5482987065	299916	370.50	428.70	374.83	433.76	231.20	1791.05	0.93	770.87	44739.33	-44705.19	23538.53
Saccade L	1	29	5483486294	5483526278	39984	372.17	423.88	370.63	425.75	26.64	1660.75	0.50	666.15	41334.21	-41458.78	41316.50
Saccade L	1	30	5484225609	5484245400	19791	364.41	254.25	364.82	258.51	5.71	1121.09	0.00	288.49	273.60	-27478.92	9283.45
Saccade L	1	31	5484425334	5484445335	20001	446.52	273.64	446.87	275.05	0.09	6.34	0.00	4.73	-15.92	-76.75	46.26
Saccade L	1	32	5488162039	5488201019	38980	360.51	301.47	366.28	276.51	27.54	1183.91	0.00	706.54	29597.63	-29398.57	22141.83
Saccade L	1	33	5488880274	5488900339	20065	319.32	322.25	319.91	323.41	0.06	3.33	1.00	2.76	50.90	-35.06	29.89
Saccade L	1	34	5489239894	5489260172	20278	254.77	328.54	232.94	320.11	0.64	59.81	1.00	31.47	1365.92	-1478.59	1331.14
Saccade L	1	35	5490838081	5490859165	21084	363.77	508.70	383.13	519.42	16.98	1606.12	1.00	805.34	1414.28	-1414.28	1338.28
Saccade L	1	36	5491497352	5491537354	40002	365.92	322.27	360.62	276.63	28.85	1227.07	0.00	721.16	30676.66	-30535.79	22962.62
Saccade L	1	37	5491797026	5491817088	20062	298.00	297.93	218.21	311.71	2.13	206.84	1.00	106.40	5085.32	-4913.56	4311.77
Saccade L	1	38	5493115645	5493135586	19941	396.51	299.81	489.55	282.26	2.02	241.85	1.00	101.46	5878.27	-5934.58	5114.47
Saccade L	1	39	5494214338	5494394240	179902	607.46	978.40	365.50	532.56	136.42	2718.94	0.00	758.33	35198.45	-48586.13	21124.79
Saccade L	1	40	5495054553	5495133349	78796	373.18	365.16	356.60	299.22	70.35	1311.02	0.00	892.88	32775.40	-29283.75	16126.18
Saccade L	1	41	5495653056	5495672728	19672	297.85	297.46	247.45	302.46	1.86	131.27	0.00	94.70	3120.31	-3100.73	2221.29
Saccade L	1	42	5495912487	5495932473	19986	216.47	315.29	293.06	307.85	1.65	196.58	1.00	82.65	4772.56	-4821.83	3660.14
Saccade L	1	43	5497270979	5497290966	19987	353.84	315.43	351.69	313.56	0.15	8.94	1.00	7.27	-41.30	-96.37	71.44
Saccade L	1	44	5500007845	5500048172	40327	-92.17	399.54	329.91	349.84	26.83	1210.61	1.00	665.31	25911.88	-30081.85	21296.17
Saccade L	1	45	5501166597	5501186609	20012	268.48	333.38	263.99	327.42	0.51	60.40	0.00	25.35	457.20	-981.05	570.74
Saccade L	1	46	5501905728	5501946835	41107	255.01	329.03	255.98	330.74	19.78	1199.99	1.00	481.14	29933.29	-29925.15	29857.22
Saccade L	1	47	5502246423	5502265359	18936	210.12	307.26	204.00	299.38	1.03	144.25	0.00	54.57	-349.27	-3378.58	1408.71
Saccade L	1	48	5503264224	5503284223	19999	209.99	243.10	210.05	238.51	0.60	98.88	0.00	30.06	136.97	-2388.20	881.01
Saccade L	1	49	5504402976	5504502859	99883	369.91	329.32	365.08	283.76	47.93	1245.75	0.00	479.83	30551.16	-31043.03	22417.40
Saccade L	1	50	5504602724	5504643671	40947	366.22	283.55	366.31	282.99	19.24	1172.46	0.49	469.83	29284.31	-29214.65	29237.64
Saccade L	1	51	5506121105	5506260842	139737	333.86	356.25	351.99	288.68	116.63	1228.63	0.00	834.64	30715.69	-28182.09	16116.65
Saccade L	1	52	5506700361	5506720363	20002	280.26	268.06	280.62	264.01	0.16	10.39	1.00	7.89	8.64	-154.15	76.93
Saccade L	1	53	5507419534	5507440708	21174	366.83	281.47	367.47	282.47	0.07	3.27	1.00	3.19	44.02	-6.12	16.83
