[BeGaze]
Converted from:	F:\1. ON ROAD - Track\002 RM\002 RM 20120303 Sleep Deprived\SMI\0021\002RM 20120303 - Part I.idf
Date:	08.08.2014 17:04:36
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	002RM 20120303 - Part I
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Saccade L	1	1	5081284782	5081304827	20045	426.86	417.53	357.72	319.91	2.75	305.43	1.00	137.12	7426.80	-7409.19	5076.68
Saccade L	1	2	5083941778	5083981807	40029	323.72	163.28	365.60	292.90	3.44	223.83	1.00	85.89	5560.67	-5516.87	3947.36
Saccade L	1	3	5084181651	5084201479	19828	353.13	312.36	324.47	351.87	0.73	124.73	1.00	36.60	2938.16	-2888.81	1959.06
Saccade L	1	4	5084481134	5084501193	20059	358.70	296.95	358.91	294.32	0.65	74.07	0.00	32.63	42.62	-1646.81	852.87
Saccade L	1	5	5084662156	5084680967	18811	336.89	275.06	247.69	391.22	7.50	1166.98	1.00	398.71	28013.11	9154.95	17445.63
Saccade L	1	6	5084720908	5084740909	20001	226.03	314.69	227.83	230.09	12.62	1166.98	1.00	631.08	-1560.32	-23770.08	15276.12
Saccade L	1	7	5084880767	5084920765	39998	248.84	224.22	-105.04	488.92	11.43	1006.54	1.00	285.85	25045.94	19.49	7920.88
Saccade L	1	8	5085120524	5085261397	140873	357.51	440.82	343.03	354.76	131.26	1420.71	0.00	931.74	35517.64	-29962.31	18063.15
Saccade L	1	9	5086659159	5086678761	19602	328.62	310.68	421.48	310.94	2.04	237.19	1.00	104.08	5882.87	-5781.91	5234.17
Saccade L	1	10	5086898581	5086918526	19945	397.81	308.51	392.82	307.42	0.33	27.14	1.00	16.59	373.24	-352.35	245.21
Saccade L	1	11	5087497930	5087577820	79890	541.32	368.23	553.73	286.75	25.97	1686.94	1.00	325.04	899.33	-37987.68	7297.86
Saccade L	1	12	5087737553	5087758491	20938	470.44	270.86	466.27	268.20	0.32	18.03	1.00	15.33	27.26	-134.74	54.55
Saccade L	1	13	5087917399	5087958362	40963	471.33	206.17	469.78	206.07	19.75	1181.86	1.00	482.17	29477.17	-29510.10	29235.29
Saccade L	1	14	5088177060	5088217062	40002	456.26	200.18	241.92	146.04	5.61	297.07	0.50	140.32	7392.28	-6353.09	6132.94
Saccade L	1	15	5088496792	5088836494	339702	177.75	147.92	202.96	217.28	33.61	214.64	0.00	98.93	4380.29	-3617.40	1267.19
Saccade L	1	16	5088936346	5088956490	20144	288.23	210.64	299.92	210.85	0.61	35.68	0.00	30.52	-3.06	-228.92	98.44
Saccade L	1	17	5089056530	5089116024	59494	335.70	211.81	113.52	308.85	7.86	269.53	0.33	132.07	5867.06	-2937.30	3516.59
Saccade L	1	18	5089215987	5089235900	19913	118.06	343.86	132.93	338.25	0.86	50.15	1.00	43.19	-124.77	-238.46	187.89
Saccade L	1	19	5089395771	5089435663	39892	205.73	313.30	294.59	446.75	4.91	333.96	1.00	123.10	8117.57	-8092.08	5136.27
Saccade L	1	20	5089675390	5089735487	60097	317.03	493.74	321.21	559.64	21.70	1090.68	0.67	361.08	27261.73	-27189.60	20869.57
Saccade L	1	21	5089935207	5089955377	20170	314.48	559.70	222.73	478.39	3.49	366.34	1.00	172.85	16703.41	7809.91	11128.40
Saccade L	1	22	5090674275	5090694317	20042	144.70	543.48	154.77	545.35	0.46	26.19	1.00	22.81	190.49	-246.42	176.94
Saccade L	1	23	5090894073	5090934089	40016	196.61	510.67	238.87	353.63	4.82	241.57	0.50	120.41	5914.47	-3931.40	3846.55
Saccade L	1	24	5091173784	5091213675	39891	240.82	337.96	102.37	244.90	4.46	233.67	1.00	111.71	5809.94	-5055.09	4329.93
Saccade L	1	25	5091454654	5091473402	18748	65.87	218.27	174.59	306.95	2.63	358.08	1.00	140.31	8926.26	-8900.98	6801.74
Saccade L	1	26	5091892907	5091953122	60215	226.50	351.77	340.55	207.03	5.87	238.65	0.67	97.56	5887.61	-5607.71	4117.72
Saccade L	1	27	5092272508	5092292586	20078	336.56	195.75	371.77	178.05	1.13	100.70	1.00	56.04	2140.37	-1960.83	2005.82
Saccade L	1	28	5092612168	5092771944	159776	505.86	334.89	401.58	236.17	34.02	1514.21	0.00	212.90	4493.02	-34758.75	5449.95
Saccade L	1	29	5093191534	5093211545	20011	382.62	261.36	355.62	266.67	0.74	70.33	1.00	37.22	1541.03	-1389.65	1330.00
Saccade L	1	30	5093552240	5093591030	38790	326.27	256.36	327.03	257.42	21.31	1369.68	1.00	549.33	34139.21	-34184.33	34138.68
Saccade L	1	31	5094351235	5094550243	199008	314.09	238.98	557.38	268.22	25.33	255.99	0.30	127.30	5953.94	-2670.75	1598.58
Saccade L	1	32	5094651029	5094669901	18872	466.92	263.62	457.28	263.59	0.62	39.81	0.00	33.09	-20.35	-355.14	214.77
Saccade L	1	33	5094950495	5094969560	19065	415.47	254.36	351.87	250.30	1.13	162.84	1.00	59.42	3812.55	-3944.33	2899.26
Saccade L	1	34	5095269146	5095289190	20044	326.19	308.03	331.63	310.25	0.32	20.07	1.00	16.13	95.99	45.07	66.89
Saccade L	1	35	5095768688	5095788658	19970	305.22	284.86	303.72	282.36	0.16	10.31	1.00	8.24	50.48	-70.91	42.87
Saccade L	1	36	5095888541	5095908524	19983	363.66	268.70	390.39	270.53	1.20	158.20	0.00	59.96	1467.11	-3869.87	2318.02
Saccade L	1	37	5096448135	5096467912	19777	426.77	239.53	467.40	240.25	0.89	103.84	1.00	44.78	2194.73	-2059.17	1588.14
Saccade L	1	38	5096648043	5096667651	19608	460.16	168.22	456.09	162.65	0.35	32.67	0.00	17.64	88.13	-663.59	350.65
Saccade L	1	39	5097866283	5097886290	20007	443.32	182.27	362.06	188.98	1.96	208.28	1.00	97.75	5073.35	-4886.40	3500.07
Saccade L	1	40	5098026093	5098046246	20153	349.71	247.14	354.41	255.21	0.52	29.75	0.00	25.65	-135.29	-323.09	236.56
Saccade L	1	41	5098625408	5098646489	21081	346.21	254.43	232.20	353.28	7.74	1067.90	1.00	367.37	26491.63	-9626.61	15179.31
Saccade L	1	42	5098746242	5098825149	78907	100.03	332.82	218.71	240.68	16.28	881.17	0.00	206.28	6157.99	-19157.24	5278.20
Saccade L	1	43	5099046185	5099124836	78651	306.96	246.49	348.60	244.13	102.83	3895.06	1.00	1307.48	96894.75	-96358.38	76838.71
Saccade L	1	44	5099384525	5099404557	20032	323.40	219.72	238.83	212.82	2.17	216.74	1.00	108.57	5091.27	-5090.21	3457.47
Saccade L	1	45	5100423408	5100443457	20049	329.58	191.38	327.88	190.31	0.08	5.13	1.00	3.75	60.69	-41.13	37.72
Saccade L	1	46	5100763437	5100783069	19632	385.78	200.85	441.45	250.09	1.17	189.88	1.00	59.43	4688.93	-4680.30	3481.46
Saccade L	1	47	5101063001	5101082703	19702	435.50	212.97	421.69	210.16	0.73	40.74	1.00	37.25	104.68	-154.29	89.14
Saccade L	1	48	5101202589	5101222595	20006	373.39	202.87	400.40	269.54	1.03	183.76	1.00	51.71	4263.85	-4430.95	2916.92
Saccade L	1	49	5101482333	5101502321	19988	383.72	281.53	311.84	373.10	1.78	297.24	1.00	88.98	7359.86	-7235.35	4870.36
Saccade L	1	50	5101781996	5101801951	19955	362.56	373.03	401.28	366.84	1.20	127.00	0.00	60.02	2386.36	-2971.76	2586.92
Saccade L	1	51	5102141609	5102341369	199760	364.78	351.37	110.51	294.87	152.39	2056.48	0.40	762.85	36108.82	-28418.55	15474.63
Saccade L	1	52	5102462247	5102501177	38930	206.31	292.15	327.03	366.79	3.20	269.47	1.00	82.11	6349.27	-6661.58	4221.49
Saccade L	1	53	5102920691	5102960999	40308	369.75	346.74	345.59	169.07	5.06	242.06	0.49	125.50	5948.18	-4934.64	4550.09
Saccade L	1	54	5103599940	5103699802	99862	312.08	113.39	255.27	237.58	6.05	185.21	1.00	60.55	4549.38	-4429.26	2168.59
