[BeGaze]
Converted from:	F:\1. ON ROAD - Track\003 RB\003 RB 20130119 Sleep Deprived\SMI\003RB 20130119 - Sleep Deprived.idf
Date:	08.08.2014 15:44:47
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	003RB 20130119 - Sleep Deprived
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Saccade L	1	1	1122198854	1122258751	59897	347.04	156.26	343.78	106.78	28.58	963.52	0.00	477.18	18921.76	-22607.56	13876.81
Saccade L	1	2	1123197722	1123637165	439443	128.74	636.54	246.75	372.34	355.08	1736.77	0.73	808.03	43040.79	-43316.61	19356.57
Saccade L	1	3	1123836967	1123896887	59920	254.51	369.09	254.50	371.16	34.18	1708.19	1.00	570.48	42549.43	-42686.73	17073.86
Saccade L	1	4	1127672725	1127813599	140874	311.32	590.18	0.00	-1.89	187.38	2091.59	1.00	1330.16	41437.03	-52251.29	17708.01
Saccade L	1	5	1128691505	1128751468	59963	560.49	-68.18	349.06	371.87	55.92	1413.61	0.00	932.53	35340.17	-26973.35	16096.40
Saccade L	1	6	1130349728	1131248765	899037	-91.10	541.63	0.00	-1.03	1016.22	1649.76	1.00	1130.34	39765.34	-39131.73	18696.73
Saccade L	1	7	1132187592	1132208022	20430	383.19	158.84	421.34	227.20	12.53	1205.30	1.00	613.39	4999.28	-4999.28	4641.26
Saccade L	1	8	1132767010	1132786963	19953	360.08	153.71	385.31	229.55	11.60	1131.32	1.00	581.53	5104.50	-5104.50	4575.49
Saccade L	1	9	1133845740	1133865686	19946	283.48	195.49	215.10	197.91	8.93	873.24	0.00	447.72	11881.22	-3260.57	6504.11
Saccade L	1	10	1136602965	1136682723	79758	186.31	349.11	88.00	356.45	44.06	1761.68	1.00	552.36	42747.17	-43960.68	29232.72
Saccade L	1	11	1137441758	1137641509	199751	75.80	350.90	71.71	343.23	161.79	1762.47	0.10	809.97	43995.47	-43891.11	21879.24
Saccade L	1	12	1138980087	1139039997	59910	470.72	233.79	449.97	189.36	56.50	1754.89	1.00	943.15	30063.29	-43222.98	27276.11
Saccade L	1	13	1145133080	1145153212	20132	286.51	564.97	354.59	575.48	2.03	176.00	1.00	100.93	4247.90	-3930.90	3286.95
Saccade L	1	14	1146072147	1146711386	639239	160.08	474.16	184.55	356.73	728.99	1563.05	0.97	1140.40	31459.89	-38895.19	7330.97
Saccade L	1	15	1148669230	1148989238	320008	364.50	570.63	375.37	589.37	182.84	1994.90	0.81	571.35	49793.95	-49769.83	20342.19
Saccade L	1	16	1149408383	1149528239	119856	372.40	604.60	370.98	607.50	41.56	521.05	1.00	346.79	12791.45	-13002.69	6458.65
Saccade L	1	17	1149648121	1149708100	59979	368.74	605.46	371.91	610.41	10.50	523.35	0.33	175.12	13033.47	-12756.88	5266.86
Saccade L	1	18	1150846795	1150866749	19954	429.14	284.19	468.21	301.47	21.17	1447.42	1.00	1061.16	2548.38	-33456.14	12911.32
Saccade L	1	19	1151586946	1151625852	38906	410.90	837.74	480.02	292.42	46.81	2259.76	0.00	1203.15	56494.11	-54276.44	41674.29
Saccade L	1	20	1151865636	1151885971	20335	412.18	260.31	411.12	255.98	0.14	11.41	1.00	6.78	161.46	-215.50	132.18
Saccade L	1	21	1152205248	1152285603	80355	389.52	222.43	99.11	125.74	11.09	214.65	0.75	138.04	4295.87	-4350.71	2773.19
Saccade L	1	22	1152544851	1152564882	20031	113.45	159.10	117.65	159.69	0.23	15.10	1.00	11.35	116.88	45.58	74.22
Saccade L	1	23	1153124248	1153144234	19986	141.88	174.67	108.07	168.43	0.93	95.50	0.00	46.72	2129.17	-2367.52	2225.20
Saccade L	1	24	1154023224	1154083477	60253	386.00	236.29	162.96	164.41	7.58	211.92	0.66	125.88	5006.64	-4588.57	3235.35
Saccade L	1	25	1154942228	1155002119	59891	145.95	172.69	139.84	171.50	20.88	1036.81	0.33	348.63	25812.86	-25782.09	10366.06
Saccade L	1	26	1157359499	1157459356	99857	338.88	211.97	335.23	193.91	62.50	1010.94	0.00	625.93	21144.20	-24385.00	11201.17
Saccade L	1	27	1158578490	1158857860	279370	279.41	-224.03	345.15	389.47	200.97	1583.02	0.43	719.38	32478.19	-32909.40	21147.64
Saccade L	1	28	1159277728	1159297355	19627	259.48	248.92	323.24	216.18	5.57	911.20	0.00	283.65	4577.55	-21772.42	10215.76
