[BeGaze]
Converted from:	F:\1. ON ROAD - Track\004 CW\004CW 20121208 Sleep Deprived\SMI\004CW 20121208 - Sleep Deprived.idf
Date:	08.08.2014 15:57:24
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	004CW 20121208 - Sleep Deprived
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Saccade L	1	1	6370235187	6370255229	20042	396.38	242.18	398.85	315.97	1.18	188.63	1.00	58.74	3660.38	-4671.91	2793.78
Saccade L	1	2	6370554832	6370575149	20317	406.60	243.29	426.08	241.50	1.23	189.07	0.00	60.64	1200.83	-4687.39	2368.85
Saccade L	1	3	6372173403	6372193042	19639	413.94	245.38	382.01	319.98	1.31	207.30	1.00	66.68	5171.02	-5110.31	3860.64
Saccade L	1	4	6372772653	6372912187	139534	352.61	316.76	357.48	321.55	75.49	1210.49	1.00	541.02	26533.11	-29865.30	24618.58
Saccade L	1	5	6373072368	6373092054	19686	385.12	255.64	385.61	255.18	0.86	167.20	1.00	43.79	-24.63	-4136.76	1405.97
Saccade L	1	6	6373631445	6373651424	19979	406.37	258.21	420.34	252.51	1.08	171.38	0.00	54.20	915.13	-4160.86	1990.01
Saccade L	1	7	6376987725	6377047556	59831	354.74	280.83	376.74	332.99	39.02	1273.15	1.00	652.13	29624.35	-31544.19	28349.71
Saccade L	1	8	6377547068	6377567403	20335	376.88	329.24	411.32	254.14	1.25	211.07	1.00	61.29	5250.05	-5142.21	3537.90
Saccade L	1	9	6382381758	6382481532	99774	404.41	129.23	403.26	142.74	58.94	1079.96	0.40	590.78	26808.84	-26637.32	11437.20
Saccade L	1	10	6383140754	6383161156	20402	473.87	177.12	472.40	183.49	0.33	17.31	0.00	16.20	31.88	-111.04	63.88
Saccade L	1	11	6383300522	6383320560	20038	412.43	209.49	401.40	224.23	0.92	126.19	0.00	46.03	961.89	-3098.08	1716.85
Saccade L	1	12	6384139671	6384160022	20351	394.13	237.80	395.43	318.09	1.23	205.12	1.00	60.64	5111.25	-4168.90	3374.42
Saccade L	1	13	6384898771	6384918698	19927	388.05	321.72	417.45	222.37	2.14	264.62	1.00	107.61	6569.48	-6495.36	4486.39
Saccade L	1	14	6385398192	6385418126	19934	454.78	218.76	420.78	317.59	1.65	266.91	1.00	82.88	6640.00	-6597.17	4908.06
Saccade L	1	15	6385997582	6386097403	99821	348.97	259.58	379.03	313.04	47.74	1220.03	1.00	478.25	19628.79	-25161.64	11658.82
Saccade L	1	16	6386277319	6386297166	19847	426.53	319.48	475.30	227.89	1.97	265.01	1.00	99.25	5966.16	-6484.64	4845.22
Saccade L	1	17	6386676810	6386696797	19987	442.34	272.90	405.59	283.58	1.04	97.79	1.00	52.10	2325.51	-2293.41	1966.77
Saccade L	1	18	6386836733	6386896550	59817	391.83	297.47	391.93	287.69	35.36	1776.02	0.35	591.14	44235.62	-43740.96	17729.14
Saccade L	1	19	6389074189	6389354153	279964	376.30	337.36	370.84	333.43	187.87	1270.39	0.00	671.05	31759.66	-31507.00	21537.25
Saccade L	1	20	6389573529	6389853608	280079	370.78	332.86	369.90	333.18	165.41	1254.74	0.71	590.58	31346.27	-31348.31	27399.24
Saccade L	1	21	6390053362	6390093029	39667	369.16	334.10	392.96	283.48	20.64	1252.17	0.50	520.33	31297.99	-28072.83	29257.86
Saccade L	1	22	6391371535	6391391559	20024	405.56	323.76	373.66	323.27	0.81	81.53	1.00	40.58	1955.18	-1848.48	1646.58
Saccade L	1	23	6391511431	6393129524	1618093	359.83	323.49	376.82	260.90	1834.24	1226.47	0.96	1133.58	30422.59	-30391.39	2950.59
Saccade L	1	24	6393369277	6393389341	20064	415.13	259.79	415.93	329.60	0.93	178.38	1.00	46.14	4387.14	-4434.09	2958.77
Saccade L	1	25	6395287150	6395307163	20013	399.86	312.98	385.74	408.55	9.36	1407.03	1.00	467.59	33004.05	-6168.82	14032.86
Saccade L	1	26	6395566773	6395647112	80339	646.84	953.91	657.85	978.84	130.92	2774.72	1.00	1629.56	47844.41	-36197.00	20226.78
Saccade L	1	27	6396505807	6396546905	41098	446.98	225.84	444.28	233.82	31.19	1262.28	1.00	758.87	31480.67	-31140.53	23435.51
Saccade L	1	28	6397005235	6397046118	40883	420.66	267.70	397.03	381.42	3.55	225.18	1.00	86.93	5558.01	-5325.89	3468.81
Saccade L	1	29	6397404785	6397424820	20035	350.67	429.49	349.14	428.95	0.51	83.83	1.00	25.53	44.46	-1992.08	777.44
Saccade L	1	30	6397664607	6397684518	19911	354.51	376.45	378.21	309.88	2.24	180.53	1.00	112.43	4503.45	-847.36	2368.18
Saccade L	1	31	6398044243	6398064075	19832	414.27	309.58	414.08	310.56	0.05	3.65	0.00	2.41	21.31	-48.33	34.24
Saccade L	1	32	6398303827	6398323775	19948	375.33	338.38	311.24	369.89	2.01	182.45	1.00	100.95	4487.29	-4442.94	3341.77
Saccade L	1	33	6398503555	6398544652	41097	319.32	344.16	427.78	229.56	5.80	270.65	0.49	141.07	6662.26	-3202.97	3139.34
Saccade L	1	34	6398663436	6398683402	19966	439.89	316.22	441.03	316.47	0.09	6.98	0.00	4.74	39.50	-57.03	43.04
Saccade L	1	35	6399522402	6399643240	120838	406.18	320.57	72.04	523.21	15.37	211.75	0.33	127.20	5013.57	-1875.09	1980.02
Saccade L	1	36	6399822181	6399842238	20057	66.11	520.00	72.98	512.70	0.63	39.79	0.00	31.25	-114.01	-443.88	285.49
Saccade L	1	37	6401141779	6401160527	18748	404.22	304.16	402.10	304.74	0.26	42.43	1.00	13.86	976.86	39.50	387.14
Saccade L	1	38	6402079527	6402099664	20137	402.91	289.26	398.72	291.61	0.64	101.72	1.00	31.58	2405.59	-266.34	935.93
Saccade L	1	39	6403258321	6403298239	39918	414.17	296.91	406.49	280.73	30.42	1280.64	0.00	761.98	32015.92	-31866.90	23959.13
Saccade L	1	40	6404576833	6404596783	19950	419.19	296.72	400.08	294.35	0.41	49.23	1.00	20.71	957.86	-996.75	686.44
