[BeGaze]
Converted from:	F:\1. ON ROAD - Track\005 RS\005 RS 20130323 Sleep Deprived\SMI\005RS 20130323 - Sleep Deprived.idf
Date:	08.08.2014 16:08:09
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	005RS 20130323 - Sleep Deprived
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Saccade L	1	1	2713793680	2713893437	99757	439.57	316.96	828.16	357.25	50.05	1632.34	1.00	501.68	36466.93	-40399.28	20677.11
Saccade L	1	2	2714053309	2714073428	20119	921.47	361.36	921.58	361.85	0.03	2.85	1.00	1.58	1.68	-39.09	14.30
Saccade L	1	3	2714812441	2714872560	60119	397.42	318.73	147.49	305.53	22.37	1199.23	0.67	372.14	29945.84	-28469.71	20263.98
Saccade L	1	4	2715951294	2716011228	59934	137.19	308.95	357.37	451.95	8.46	360.84	0.33	141.14	9010.62	-5453.17	4402.01
Saccade L	1	5	2716531732	2716570575	38843	308.94	301.59	320.18	294.27	25.51	1097.76	1.00	656.68	27251.44	-27386.84	20485.94
Saccade L	1	6	2717030517	2717049936	19419	396.98	302.87	425.78	304.07	1.32	100.62	1.00	67.84	-673.88	-2240.05	1565.80
Saccade L	1	7	2718148804	2718168697	19893	334.42	309.64	290.70	311.02	1.58	144.85	0.00	79.67	1336.82	-3528.08	2521.66
Saccade L	1	8	2719547306	2719567219	19913	369.00	299.37	414.04	298.99	1.19	115.10	1.00	59.60	2848.24	-2812.70	2311.74
Saccade L	1	9	2722404029	2722424363	20334	180.80	301.91	259.20	298.91	1.68	200.42	1.00	82.86	4958.13	-4295.40	4085.06
Saccade L	1	10	2723103282	2723123513	20231	298.03	300.01	385.70	295.23	1.66	224.29	1.00	82.29	5575.69	-5460.56	4021.18
Saccade L	1	11	2725680411	2725900216	219805	-72.67	253.23	60.49	219.11	39.54	670.23	0.00	179.88	3749.01	-13374.85	2794.67
Saccade L	1	12	2726539440	2726559414	19974	146.35	224.19	154.62	229.88	0.65	78.39	1.00	32.72	1602.15	-183.60	704.85
Saccade L	1	13	2726720351	2726739299	18948	203.80	277.36	206.86	279.49	0.24	17.22	0.00	12.40	4.00	-173.22	84.36
Saccade L	1	14	2727058925	2727078907	19982	263.02	321.60	262.15	323.94	0.65	100.51	1.00	32.47	-117.16	-2353.36	975.06
Saccade L	1	15	2728537172	2728557163	19991	185.67	473.34	183.99	396.00	8.01	1277.84	0.00	400.55	4940.71	-28778.29	12440.14
Saccade L	1	16	2728757037	2728796906	39869	184.36	410.04	186.22	414.52	21.89	1366.03	1.00	548.94	33987.40	-33948.60	33814.70
Saccade L	1	17	2729317385	2729396216	78831	481.22	175.59	455.58	211.32	90.49	1644.36	1.00	1147.87	-274.26	-31674.55	12044.17
Saccade L	1	18	2731074404	2731094451	20047	228.52	473.47	234.89	425.12	1.45	124.61	1.00	72.22	3089.31	-2433.00	1938.62
Saccade L	1	19	2731673689	2731714015	40326	417.77	213.80	412.94	220.41	28.68	1182.32	0.00	711.18	29558.07	-29259.90	21922.98
Saccade L	1	20	2732692543	2732713737	21194	419.47	306.18	359.43	304.63	1.21	153.46	1.00	57.26	3783.41	-3745.89	3070.26
Saccade L	1	21	2733072156	2733092190	20034	407.07	303.38	441.98	306.32	1.36	156.78	0.00	67.94	1989.09	-3532.96	2509.95
Saccade L	1	22	2734290827	2734311770	20943	24.74	313.12	7.45	269.84	5.38	797.54	0.00	256.67	2977.32	-17187.11	7543.80
Saccade L	1	23	2734430661	2734490563	59902	37.64	251.69	147.33	251.53	4.71	198.27	1.00	78.64	4243.90	-4544.81	2302.85
Saccade L	1	24	2734711396	2734750186	38790	223.66	260.92	331.11	263.92	2.63	226.46	1.00	67.85	5552.16	-5477.20	3101.98
Saccade L	1	25	2734970059	2735010359	40300	347.15	271.44	495.40	288.58	4.38	229.90	0.49	108.57	5091.63	-4236.74	3670.67
Saccade L	1	26	2736348543	2736368440	19897	455.22	290.25	373.52	281.09	1.59	210.03	1.00	80.12	5238.91	-5164.81	4106.33
Saccade L	1	27	2736887946	2736927834	39888	329.56	291.68	246.55	399.00	4.46	183.59	0.51	111.77	4571.20	-3452.36	2921.38
Saccade L	1	28	2737108892	2737147723	38831	179.49	427.80	124.07	479.76	1.92	170.69	1.00	49.54	4207.20	-3977.45	2331.18
Saccade L	1	29	2742361816	2742421669	59853	593.73	438.93	598.50	512.55	97.94	2252.67	1.00	1636.38	34706.17	-39785.47	18328.38
Saccade L	1	30	2742461675	2742621509	159834	493.50	424.91	464.14	431.03	227.89	1936.57	1.00	1425.77	2808.21	-39217.90	9405.73
Saccade L	1	31	2742902268	2742921196	18928	470.03	362.05	519.75	303.87	7.95	1482.33	0.00	419.86	4888.05	-37018.29	15568.99
Saccade L	1	32	2743240824	2743260801	19977	457.96	287.57	453.24	287.69	0.25	15.45	1.00	12.49	149.61	-44.29	72.24
Saccade L	1	33	2743580451	2743600735	20284	393.09	309.25	392.64	355.47	0.89	118.12	1.00	43.85	2411.07	-2304.43	1663.36
Saccade L	1	34	2743820167	2743840193	20026	315.78	340.50	314.04	339.42	0.14	8.49	0.00	6.80	72.01	-59.71	61.57
Saccade L	1	35	2744379543	2744459451	79908	369.51	318.41	672.00	393.23	12.70	242.29	0.25	158.92	5889.45	-3425.20	2686.09
Saccade L	1	36	2744819049	2744839135	20086	209.43	343.98	215.50	298.89	6.33	1018.38	0.00	315.03	2906.90	-22322.68	8965.76
Saccade L	1	37	2744938917	2744958939	20022	255.65	287.40	266.90	295.22	0.69	41.83	0.00	34.46	-103.56	-499.16	313.69
Saccade L	1	38	2745138672	2745158720	20048	324.83	320.58	366.38	357.17	0.97	141.48	1.00	48.46	3212.09	-3461.53	2400.37
Saccade L	1	39	2745458294	2745478364	20070	378.41	322.44	356.92	275.33	1.14	132.31	1.00	56.65	3146.40	-3131.21	2299.34
Saccade L	1	40	2746976674	2746997856	21182	444.22	270.34	437.88	273.43	0.35	19.77	1.00	16.49	-43.68	-66.51	54.85
Saccade L	1	41	2747276484	2747297399	20915	399.97	268.25	400.20	320.55	0.77	133.64	1.00	36.73	3189.65	-525.76	1265.52
Saccade L	1	42	2747696138	2747735796	39658	420.23	326.44	397.80	450.34	3.37	163.22	1.00	84.94	3933.66	-3550.75	3250.13
Saccade L	1	43	2748215232	2748235305	20073	384.49	451.80	384.39	446.45	0.35	21.96	1.00	17.21	-10.76	-206.96	98.56
Saccade L	1	44	2748614803	2748634895	20092	352.04	384.47	351.00	300.57	2.20	214.32	1.00	109.65	5230.27	-4939.18	3554.07
Saccade L	1	45	2748954521	2748974420	19899	385.18	303.84	409.68	298.21	0.40	64.26	1.00	20.29	1438.70	-1487.20	1020.64
Saccade L	1	46	2749773529	2749913360	139831	360.30	271.67	361.17	269.90	139.98	1667.40	1.00	1001.05	41513.63	-41472.87	27632.22
Saccade L	1	47	2750033200	2750093519	60319	349.98	288.51	371.54	287.62	23.59	1162.23	1.00	391.11	28295.16	-29022.80	11639.30
Saccade L	1	48	2751571381	2751591864	20483	392.28	319.84	439.36	336.38	0.96	127.51	1.00	47.07	2589.70	-3069.48	1984.01
Saccade L	1	49	2752091270	2752111162	19892	384.15	313.29	378.00	290.43	0.53	60.51	1.00	26.72	1286.59	-1432.74	1173.71
Saccade L	1	50	2752510646	2752530411	19765	354.48	308.11	357.83	309.35	0.21	15.33	1.00	10.80	-140.10	-218.77	171.30
Saccade L	1	51	2753190493	2753229936	39443	362.15	370.80	369.64	455.20	2.63	121.81	1.00	66.68	2775.93	-2107.38	1776.67
Saccade L	1	52	2753928794	2753989400	60606	361.52	495.53	309.69	357.35	6.41	180.76	1.00	105.82	3730.84	-3394.02	2399.76
Saccade L	1	53	2754408298	2754428482	20184	333.32	331.92	316.39	373.21	0.70	114.03	1.00	34.43	2741.56	-2660.91	1852.31
Saccade L	1	54	2755047553	2755107664	60111	395.92	321.39	357.98	479.43	4.93	144.30	1.00	81.98	3355.58	-3336.55	2397.56
Saccade L	1	55	2755327289	2755367159	39870	314.34	535.11	312.79	542.13	25.72	1610.25	0.51	644.98	40214.34	-40003.65	39894.76
Saccade L	1	56	2756286526	2756366167	79641	339.52	358.09	377.28	310.77	70.40	1241.36	0.00	884.01	31033.93	-30208.97	15362.55
