[BeGaze]
Converted from:	F:\1. ON ROAD - Track\007 DV\007 DV Sleep Deprived 20130511\SMI\007 DV 20130511 - Sleep Deprived.idf
Date:	12.08.2014 13:50:55
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	007 DV 20130511 - Sleep Deprived
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Saccade L	1	1	5249596338	5249616189	19851	458.36	182.38	458.45	183.14	0.04	3.20	1.00	1.93	-12.27	-32.56	25.44
Saccade L	1	2	5250275637	5250295444	19807	405.63	157.88	404.47	157.26	0.27	46.24	1.00	13.48	-69.89	-1071.41	413.13
Saccade L	1	3	5258965799	5259005834	40035	35.34	499.07	57.54	499.71	30.31	1264.62	1.00	757.14	31451.34	-31550.81	23623.30
Saccade L	1	4	5259884823	5259905022	20199	361.96	161.33	362.64	161.25	0.30	56.19	1.00	14.96	1382.25	20.05	508.73
Saccade L	1	5	5263400813	5263420954	20141	333.95	159.62	317.27	166.65	0.80	103.10	0.00	39.70	1071.48	-2426.78	1492.30
Saccade L	1	6	5264759320	5264779402	20082	297.71	178.18	283.90	178.93	0.20	35.34	1.00	9.92	872.34	-824.32	575.46
Saccade L	1	7	5265398580	5265418586	20006	355.03	166.31	380.32	166.00	1.31	183.91	0.00	65.29	1377.48	-4522.56	2488.29
Saccade L	1	8	5266457496	5266477336	19840	379.85	162.05	332.58	174.24	1.00	124.74	1.00	50.25	3103.39	-3016.01	2606.85
Saccade L	1	9	5268536278	5268555081	18803	343.23	167.86	282.46	164.71	1.28	155.49	1.00	68.25	3846.04	-3346.24	3115.27
Saccade L	1	10	5270353094	5270372995	19901	375.21	152.04	308.01	160.06	1.35	172.90	1.00	67.86	4307.82	-4256.57	3443.51
Saccade L	1	11	5270952416	5270972456	20040	319.24	171.74	360.29	161.97	1.19	107.82	1.00	59.23	2679.86	-2546.93	2459.91
Saccade L	1	12	5273849217	5273869217	20000	379.71	156.09	415.56	158.01	0.89	91.75	1.00	44.56	2284.57	-2183.69	2191.96
Saccade L	1	13	5276086682	5276106666	19984	399.46	140.60	401.85	151.81	0.52	32.51	0.00	25.88	177.14	-344.18	282.38
Saccade L	1	14	5282699194	5282898969	199775	386.32	175.35	883.95	264.73	21.58	161.07	0.10	108.00	4012.41	-1495.96	958.72
Saccade L	1	15	5294965627	5294985569	19942	362.78	207.81	393.67	182.04	0.61	102.78	1.00	30.52	2557.96	-2440.13	1718.38
Saccade L	1	16	5301299392	5301318461	19069	397.34	232.55	398.40	171.16	6.74	1160.51	0.00	353.62	3922.54	-26586.04	11260.12
Saccade L	1	17	5301718089	5301757963	39874	387.96	176.07	399.31	351.16	4.72	234.24	0.50	118.29	5806.65	-5132.26	4653.14
Saccade L	1	18	5302337338	5302437212	99874	380.40	197.31	386.07	158.98	41.39	1082.13	0.00	414.42	25590.94	-26291.92	18630.85
Saccade L	1	19	5305154211	5305174155	19944	298.71	281.51	355.55	242.09	6.31	1037.53	0.00	316.50	4417.52	-24644.01	10967.70
Saccade L	1	20	5306532681	5306552759	20078	370.40	174.49	387.05	181.19	0.26	45.85	1.00	12.91	1065.97	-984.47	697.24
Saccade L	1	21	5309469361	5309490263	20902	325.96	226.05	351.06	181.23	6.27	1003.40	0.00	300.10	3281.08	-23441.47	9611.20
Saccade L	1	22	5310867847	5310888025	20178	407.20	171.02	407.96	169.36	0.08	4.85	0.00	4.08	25.49	-86.30	51.35
Saccade L	1	23	5312426210	5312446049	19839	384.97	161.05	386.52	162.54	0.11	6.08	0.00	5.35	942.67	-30.43	328.85
Saccade L	1	24	5314783807	5314803432	19625	363.82	173.75	342.99	173.64	0.31	53.22	1.00	15.62	1293.13	-1297.38	883.25
Saccade L	1	25	5316101936	5316121923	19987	384.76	140.01	384.89	139.82	0.04	3.62	1.00	1.82	-12.06	-75.75	39.93
Saccade L	1	26	5322414940	5322534810	119870	371.90	195.20	374.90	160.29	43.50	1061.14	0.00	362.89	25578.05	-25680.77	16493.74
Saccade L	1	27	5322675768	5322814455	138687	375.99	242.92	390.37	415.92	48.71	1427.66	0.86	351.21	35251.99	-35576.95	16814.97
Saccade L	1	28	5323633584	5323693429	59845	375.20	152.10	357.76	346.30	6.30	190.58	0.33	105.33	4689.59	-3465.14	2709.05
Saccade L	1	29	5325011940	5325073038	61098	328.30	173.22	357.44	316.39	4.72	130.10	0.65	77.24	3169.90	-2274.96	1960.79
Saccade L	1	30	5325910940	5325930940	20000	352.66	157.46	355.82	157.56	0.17	13.12	0.00	8.47	-4.06	-215.93	102.74
Saccade L	1	31	5326410443	5326450446	40003	391.84	187.55	389.83	322.64	4.77	175.65	0.50	119.15	4240.20	-3764.60	2630.60
Saccade L	1	32	5327589040	5327629102	40062	370.86	228.78	367.56	330.23	4.36	168.22	0.00	108.75	3629.48	-2093.36	2083.09
Saccade L	1	33	5329107415	5329168268	60853	334.98	136.88	119.29	135.27	6.60	203.28	0.66	108.47	4821.69	-3752.67	3474.90
Saccade L	1	34	5329546962	5329586965	40003	128.58	164.99	306.41	148.49	4.61	265.50	0.51	115.32	6500.50	-4326.26	4857.64
Saccade L	1	35	5329767022	5329786708	19686	376.85	130.88	378.38	129.07	0.14	10.12	1.00	6.94	-74.54	-144.09	106.80
Saccade L	1	36	5331066306	5331085277	18971	343.45	151.48	341.96	150.10	0.08	6.16	1.00	4.06	90.89	-16.68	59.42
Saccade L	1	37	5332803317	5332823330	20013	334.26	197.86	332.42	200.47	0.15	8.66	0.00	7.68	54.21	-18.64	25.10
Saccade L	1	38	5333163278	5333202810	39532	338.69	180.83	337.32	180.87	18.51	1165.81	1.00	468.27	29099.51	-29025.96	29009.99
Saccade L	1	39	5334501426	5334521317	19891	303.15	176.49	276.41	175.98	0.42	68.35	1.00	21.28	1659.14	-1577.47	1165.50
Saccade L	1	40	5334920948	5334940950	20002	222.84	133.15	225.85	131.54	0.16	8.89	0.00	7.88	48.82	-49.39	46.90
Saccade L	1	41	5338317052	5338358146	41094	365.91	140.65	360.27	142.48	24.45	991.84	0.00	594.98	24795.99	-24527.63	18515.47
Saccade L	1	42	5339356273	5339395945	39672	355.07	134.23	347.95	134.53	15.27	961.03	0.50	384.78	23890.13	-23860.03	23667.92
Saccade L	1	43	5339656866	5339795449	138583	327.54	131.84	330.38	133.57	74.89	903.20	1.00	540.37	22311.80	-22390.32	14896.30
Saccade L	1	44	5342172836	5342212842	40006	388.39	156.65	381.02	153.98	25.35	1058.10	0.00	633.56	26452.61	-26131.48	19740.23
Saccade L	1	45	5342853057	5342911998	58941	379.39	176.20	336.32	158.74	20.83	1028.03	0.32	353.41	25612.48	-25422.85	10877.56
Saccade L	1	46	5343970847	5344070757	99910	339.03	145.04	342.11	156.09	31.76	934.05	0.00	317.86	19751.78	-23059.29	14445.35
Saccade L	1	47	5344751018	5344790012	38994	329.05	168.67	344.26	174.36	14.66	928.12	1.00	375.95	22691.29	-21341.00	21856.27
Saccade L	1	48	5345529053	5345550149	21096	345.15	172.24	347.86	185.91	0.44	35.61	1.00	20.93	728.08	-400.77	555.61
Saccade L	1	49	5352401330	5352481323	79993	345.96	176.60	344.22	183.53	57.05	1023.58	1.00	713.13	24573.85	-25509.42	12859.42
Saccade L	1	50	5355917468	5355937930	20462	352.30	136.33	351.92	135.49	0.05	3.51	1.00	2.28	-28.96	-59.94	40.16
Saccade L	1	51	5358634811	5358774251	139440	354.44	191.31	330.74	401.03	79.16	1305.46	1.00	567.72	28516.93	-32508.37	14371.19
Saccade L	1	52	5360452506	5360492354	39848	345.33	161.50	344.85	195.14	16.84	1002.31	1.00	422.67	23735.19	-24988.77	23662.81
Saccade L	1	53	5362490167	5362530327	40160	363.92	196.87	362.51	196.27	17.54	1045.68	0.50	436.77	26020.11	-26035.75	25476.65
Saccade L	1	54	5363389096	5363489045	99949	359.83	187.79	358.69	191.14	38.10	1026.22	0.00	381.21	22319.08	-23238.04	16464.87
Saccade L	1	55	5373777469	5373817808	40339	498.88	428.36	497.67	428.31	39.56	1634.68	0.00	980.76	40867.07	-40816.95	30619.56
Saccade L	1	56	5375056092	5375116905	60813	345.91	174.24	329.60	338.45	5.30	218.02	0.66	87.20	5351.35	-3423.58	3110.25
Saccade L	1	57	5375895070	5375916284	21214	354.01	132.64	363.17	153.02	0.53	57.11	1.00	24.81	978.00	-1380.05	799.05
Saccade L	1	58	5377513685	5377573351	59666	337.49	171.40	346.72	340.49	5.59	159.03	0.67	93.75	3802.18	-1826.81	2067.34
Saccade L	1	59	5378332489	5378372349	39860	330.34	155.31	334.36	151.95	15.15	930.36	1.00	380.13	22848.15	-23189.38	22888.00
Saccade L	1	60	5380450098	5380470053	19955	355.79	163.60	359.75	164.80	0.10	10.59	1.00	4.83	223.92	-198.70	170.10
Saccade L	1	61	5380910552	5380989393	78841	353.71	208.50	328.48	388.09	34.29	1277.81	1.00	434.90	28235.13	-31703.50	20221.34
Saccade L	1	62	5382028307	5382048227	19920	332.17	156.01	329.29	155.91	0.21	23.76	1.00	10.66	-103.97	-409.84	231.18
Saccade L	1	63	5383147090	5383167018	19928	336.55	142.91	342.37	159.31	0.53	44.47	1.00	26.35	631.58	-771.77	690.75
Saccade L	1	64	5388880607	5388901645	21038	328.61	188.73	329.68	189.18	0.07	4.82	1.00	3.10	-33.26	-46.34	39.37
Saccade L	1	65	5391677460	5391777307	99847	279.37	175.68	237.31	169.56	19.98	741.24	1.00	200.12	18458.10	-18480.78	11268.89
Saccade L	1	66	5395533196	5395553218	20022	248.77	177.32	250.30	178.24	0.08	4.56	1.00	3.94	38.60	-75.39	44.54
Saccade L	1	67	5398230223	5398250189	19966	428.25	142.88	428.68	142.87	0.03	3.35	1.00	1.52	17.31	-56.26	33.67
Saccade L	1	68	5399289935	5399309016	19081	467.91	129.30	498.00	124.87	1.07	141.57	0.00	56.33	1883.33	-3448.13	2407.70
Saccade L	1	69	5401806183	5401846055	39872	308.47	153.12	307.86	154.89	15.27	952.81	1.00	383.08	23746.07	-23731.81	23652.57
Saccade L	1	70	5402525315	5402645196	119881	268.14	163.48	271.41	163.49	40.86	771.18	0.83	340.85	19265.79	-19256.62	18755.17
Saccade L	1	71	5403244564	5403264524	19960	184.36	164.43	166.80	148.17	0.48	61.15	1.00	23.98	1451.58	-1522.40	1110.54
Saccade L	1	72	5405921560	5405941690	20130	306.68	121.56	312.71	122.33	0.31	16.81	0.00	15.29	49.10	-94.40	49.59
Saccade L	1	73	5406361013	5406381424	20411	343.11	145.29	342.28	148.51	0.19	14.60	1.00	9.53	-106.01	-152.44	128.79
Saccade L	1	74	5408279159	5408298943	19784	362.06	189.70	306.49	197.43	1.02	143.35	1.00	51.48	3512.83	-2696.79	2407.28
Saccade L	1	75	5409897239	5409917101	19862	257.72	162.55	249.35	153.71	0.66	90.96	0.00	33.04	745.73	-2054.16	1139.97
Saccade L	1	76	5410396498	5410416606	20108	255.60	136.67	258.30	134.85	0.85	75.34	0.00	42.40	72.41	-1635.75	1095.74
Saccade L	1	77	5411315619	5411335631	20012	291.88	125.22	295.13	127.22	0.16	12.94	1.00	8.21	203.30	83.08	132.25
Saccade L	1	78	5412534194	5412554213	20019	362.45	152.44	363.88	153.22	0.09	5.95	1.00	4.50	35.87	-44.33	28.84
Saccade L	1	79	5413892732	5413912588	19856	355.48	206.77	350.21	165.03	5.98	1039.46	0.00	301.27	2688.00	-24533.64	9735.90
Saccade L	1	80	5414292208	5414332197	39989	355.49	169.24	317.34	303.39	4.46	223.13	0.50	111.53	5287.51	-3594.19	3363.32
Saccade L	1	81	5414831613	5414911588	79975	359.48	178.31	365.87	129.07	35.73	1014.78	0.00	446.71	23129.06	-24446.34	19922.29
Saccade L	1	82	5417009221	5417029207	19986	381.80	158.96	377.49	155.43	0.26	14.27	1.00	13.25	74.47	-87.26	62.54
Saccade L	1	83	5420965775	5420984722	18947	353.02	211.07	359.73	182.57	5.63	1039.63	0.00	297.06	1870.47	-24146.29	8915.95
Saccade L	1	84	5422682832	5422742838	60006	364.84	154.21	361.64	298.67	5.04	129.40	0.33	84.03	3165.74	-2084.28	1700.18
Saccade L	1	85	5422902588	5422922589	20001	335.39	370.99	336.48	382.60	0.32	29.80	1.00	16.11	523.08	-660.21	434.88
Saccade L	1	86	5423402076	5423562777	160701	332.10	211.04	347.83	148.47	73.46	995.50	0.00	457.11	22994.20	-23644.69	11607.89
Saccade L	1	87	5424780460	5424860701	80241	55.25	438.27	61.64	372.27	38.12	1114.69	0.00	475.11	2323.33	-24901.21	5347.74
Saccade L	1	88	5426060197	5426259945	199748	400.01	176.33	357.09	313.72	81.53	1212.65	0.59	408.15	30009.07	-30006.83	16004.92
