[BeGaze]
Converted from:	F:\1. ON ROAD - Track\008 AH\008 AH 20130928 Sleep Deprived\SMI\008 AH 201230928 - Sleep Deprived.idf
Date:	08.08.2014 16:55:46
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	008 AH 201230928 - Sleep Deprived
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Saccade L	1	1	6232548729	6232568639	19910	-78.24	138.71	-81.85	135.25	0.25	29.29	0.00	12.43	225.81	-634.93	365.62
Saccade L	1	2	6233767319	6233787482	20163	12.13	124.92	4.07	0.00	1.72	319.59	1.00	85.46	7817.85	-7923.20	5259.81
Saccade L	1	3	6234446834	6234466526	19692	768.11	293.86	550.32	257.79	12.87	2014.50	0.00	653.65	14059.48	-49419.76	25611.96
Saccade L	1	4	6234787395	6234806209	18814	475.36	279.44	471.94	279.22	0.13	8.76	1.00	6.71	91.79	-63.41	65.00
Saccade L	1	5	6235825073	6235845089	20016	413.29	284.35	386.42	280.09	0.98	98.63	0.00	49.15	1221.05	-2272.56	1686.52
Saccade L	1	6	6236903934	6236923754	19820	350.21	266.39	307.88	259.08	1.13	109.77	1.00	56.95	2670.31	-2623.93	2543.95
Saccade L	1	7	6237503180	6237543186	40006	373.53	257.30	284.48	257.79	23.93	1505.27	0.50	598.18	37621.78	-35356.45	35625.97
Saccade L	1	8	6238861709	6238881895	20186	577.19	248.86	757.62	233.68	20.06	1947.62	1.00	993.89	24121.78	9535.55	15067.01
Saccade L	1	9	6238921651	6238941554	19903	517.79	238.41	735.22	215.28	28.95	1947.62	1.00	1454.49	20423.72	-34763.81	22229.30
Saccade L	1	10	6238982603	6239001524	18921	484.14	257.11	719.68	220.79	27.07	1886.63	1.00	1430.91	19962.31	-31995.16	21336.86
Saccade L	1	11	6239041521	6239061432	19911	485.66	281.16	717.55	240.86	28.50	1865.57	1.00	1431.60	19640.97	-31419.85	20855.69
Saccade L	1	12	6240619692	6240680779	61087	434.51	288.22	220.34	284.27	6.65	199.28	0.65	108.94	4702.83	-4082.18	3256.81
Saccade L	1	13	6241080145	6241099183	19038	270.14	277.99	272.41	277.78	0.13	10.25	0.00	6.63	1481.54	-242.85	609.12
Saccade L	1	14	6241538679	6241598654	59975	127.11	236.73	102.46	155.85	18.84	683.46	0.00	314.19	7025.87	-12183.42	7937.96
Saccade L	1	15	6241818448	6241838308	19860	186.41	171.57	191.55	172.47	0.26	17.22	1.00	12.90	7.23	-96.67	66.73
Saccade L	1	16	6242857160	6242878391	21231	669.65	490.48	461.02	342.30	14.27	2031.73	0.00	672.16	16279.52	-50650.58	27721.67
Saccade L	1	17	6243216766	6243236786	20020	395.05	330.77	358.55	326.39	1.18	128.04	0.00	59.16	2175.70	-3007.61	2451.20
Saccade L	1	18	6243536441	6243577481	41040	347.44	330.64	330.34	452.91	4.11	173.82	0.49	100.08	4067.14	-2009.59	2420.30
Saccade L	1	19	6243677521	6243716292	38771	288.80	499.34	287.25	480.20	9.95	651.64	1.00	256.76	16012.04	-15944.63	15471.19
Saccade L	1	20	6244076769	6244095809	19040	297.21	395.48	298.89	392.54	0.15	8.65	1.00	7.89	28.17	-138.37	71.35
Saccade L	1	21	6245993658	6246013658	20000	250.46	346.57	244.69	343.68	0.28	25.76	0.00	13.91	231.97	-488.69	349.38
Saccade L	1	22	6247532055	6247551896	19841	251.15	363.66	304.86	306.83	1.32	199.77	1.00	66.30	4948.46	-4631.76	3263.30
Saccade L	1	23	6249290070	6249310060	19990	432.45	-247.37	400.38	451.94	15.25	1734.17	1.00	762.82	43354.21	-42971.28	38681.03
Saccade L	1	24	6249649696	6249669894	20198	392.92	433.92	333.70	432.01	0.94	151.40	1.00	46.61	3654.15	-3515.09	2396.93
Saccade L	1	25	6250089188	6250109217	20029	368.32	463.85	354.65	486.76	0.57	68.20	1.00	28.63	1472.99	-852.30	791.28
Saccade L	1	26	6250388799	6250428842	40043	353.73	498.25	197.37	445.40	4.26	233.59	0.50	106.30	5724.85	-3859.73	4113.39
Saccade L	1	27	6250748484	6250768735	20251	199.66	425.55	236.50	415.37	0.63	97.68	1.00	31.23	2336.25	-2381.74	1591.36
Saccade L	1	28	6254124706	6254144515	19809	280.15	298.98	281.80	286.06	0.22	33.27	1.00	10.89	814.48	-770.57	571.89
Saccade L	1	29	6255863896	6255882686	18790	455.82	239.61	449.77	249.03	0.55	35.09	1.00	29.37	-127.80	-205.52	165.11
Saccade L	1	30	6256363258	6256382053	18795	422.35	319.36	421.05	320.57	0.06	5.53	1.00	3.30	89.46	-1.06	58.06
Saccade L	1	31	6258280156	6258360989	80833	749.43	286.13	711.56	255.63	68.54	1968.84	0.00	847.97	48800.48	-47873.06	39246.30
Saccade L	1	32	6258560729	6258579675	18946	686.87	234.77	743.15	230.20	1.33	144.28	1.00	70.31	3422.90	-3483.68	3369.76
Saccade L	1	33	6258939289	6259060141	120852	665.64	245.42	360.25	349.94	46.47	1342.56	0.83	384.55	30298.67	-33398.66	16882.44
Saccade L	1	34	6259598719	6259618552	19833	434.25	368.77	434.91	367.97	0.08	6.65	1.00	4.20	19.45	-100.20	63.39
Saccade L	1	35	6260617477	6260637412	19935	253.29	259.30	248.13	255.27	0.20	16.74	1.00	10.08	62.22	-287.85	135.74
Saccade L	1	36	6261616321	6261636443	20122	294.04	297.88	256.51	348.16	2.01	160.32	1.00	100.10	3871.59	-2742.63	2298.65
Saccade L	1	37	6261776049	6261796133	20084	261.82	402.85	332.36	431.14	1.82	194.16	1.00	90.48	4299.10	-4715.55	3566.96
Saccade L	1	38	6262675115	6262715151	40036	347.06	427.22	248.03	410.51	2.59	146.05	1.00	64.63	3554.80	-3525.85	2779.72
Saccade L	1	39	6263254777	6263294421	39644	238.02	398.57	218.70	430.77	28.98	1845.74	1.00	731.09	45923.37	-46043.22	45134.12
Saccade L	1	40	6264253648	6264313587	59939	281.44	426.37	435.14	336.96	5.64	201.49	0.33	94.05	4998.56	-3016.92	2742.89
Saccade L	1	41	6266830522	6266850787	20265	394.44	303.07	393.56	303.44	0.04	3.79	1.00	1.98	73.54	27.70	47.15
Saccade L	1	42	6274621713	6274821615	199902	0.06	244.88	-74.70	312.80	17.41	623.38	0.00	87.08	1245.10	-14037.95	1737.82
Saccade L	1	43	6274921437	6275460832	539395	-15.61	310.18	-80.09	308.15	18.62	214.10	0.04	34.52	4500.17	-3761.14	794.91
Saccade L	1	44	6275820421	6275840658	20237	-59.91	290.75	-59.92	288.34	0.09	6.17	1.00	4.67	55.74	-52.36	41.73
Saccade L	1	45	6276219900	6276240986	21086	-34.87	281.44	46.22	280.81	1.66	207.18	1.00	78.87	5165.73	-5117.00	4163.75
Saccade L	1	46	6276539911	6276559563	19652	124.66	287.48	124.91	289.44	1.15	178.50	1.00	58.64	-79.81	-4336.24	1819.14
Saccade L	1	47	6276859302	6276899166	39864	76.47	284.60	-53.48	288.76	3.43	166.40	1.00	85.99	4127.22	-4104.95	3527.51
Saccade L	1	48	6278317572	6278337862	20290	-22.83	301.57	12.92	304.30	1.00	98.29	0.00	49.24	2224.18	-2346.76	2237.79
Saccade L	1	49	6278497419	6278517433	20014	-8.33	304.41	-3.16	0.00	4.14	773.37	1.00	206.92	18696.59	-19288.78	12820.78
Saccade L	1	50	6278937171	6278956932	19761	333.20	263.51	327.72	266.43	0.29	16.55	1.00	14.86	133.82	2.00	65.63
Saccade L	1	51	6279136896	6279176588	39692	271.61	282.79	294.38	239.87	24.30	1554.95	0.50	612.32	38459.39	-37997.52	36999.65
Saccade L	1	52	6279536592	6279556182	19590	235.99	260.96	232.76	263.17	0.22	13.79	0.00	11.20	31.30	-55.28	41.87
Saccade L	1	53	6280215481	6280255414	39933	236.41	250.63	358.50	207.65	4.67	201.76	0.53	116.94	4962.25	-3030.93	2947.87
Saccade L	1	54	6280935739	6280974668	38929	595.32	317.41	554.49	325.21	54.22	1986.68	1.00	1392.68	-1871.58	-41192.40	22519.48
Saccade L	1	55	6281294303	6281314180	19877	470.92	311.26	469.37	310.82	0.10	8.01	0.00	4.97	-16.99	-126.95	60.66
Saccade L	1	56	6282472933	6282512936	40003	442.46	310.14	441.47	311.02	26.49	1654.01	1.00	662.13	41312.47	-41330.71	41299.87
Saccade L	1	57	6285929364	6285949047	19683	433.54	469.80	440.96	298.18	10.12	1591.55	0.00	514.24	10954.03	-39107.47	20303.63
Saccade L	1	58	6286068919	6286108927	40008	439.98	291.02	438.99	292.46	25.60	1597.02	1.00	639.86	39873.48	-39895.34	39833.09
Saccade L	1	59	6288166576	6288186614	20038	216.35	329.05	234.31	310.42	6.21	996.30	0.00	309.75	1653.01	-20492.68	7869.71
Saccade L	1	60	6288686086	6288706066	19980	274.27	313.82	232.50	312.56	1.41	106.78	1.00	70.50	2533.57	-2549.21	1969.11
Saccade L	1	61	6289704935	6289764836	59901	220.65	663.62	398.35	457.88	10.51	553.20	1.00	175.46	11199.35	-13732.73	5561.61
Saccade L	1	62	6290024904	6290084449	59545	518.55	423.31	519.63	414.28	51.00	1733.52	0.66	856.45	42768.85	-43097.89	26150.93
Saccade L	1	63	6290543938	6290683907	139969	465.92	403.73	459.90	407.86	98.56	1758.80	1.00	704.16	43918.29	-43911.62	38945.46
Saccade L	1	64	6291823659	6291842678	19019	170.82	157.80	182.74	159.97	0.60	43.28	1.00	31.65	-124.90	-363.37	265.44
Saccade L	1	65	6292222403	6292262018	39615	220.28	178.70	244.53	179.87	23.08	1466.15	0.50	582.59	36587.58	-36626.15	36252.55
Saccade L	1	66	6294819395	6294839147	19752	859.73	-28.55	618.89	488.16	26.98	2099.19	0.00	1365.79	35668.44	-35667.58	25128.42
Saccade L	1	67	6294920246	6294979068	58822	581.74	256.16	578.85	304.82	63.60	1626.79	1.00	1081.20	39573.80	-36593.29	22682.82
Saccade L	1	68	6295020149	6295038902	18753	563.95	261.51	572.78	296.39	15.38	1626.79	1.00	820.14	37555.08	-38443.48	38123.16
Saccade L	1	69	6295098814	6295119876	21062	552.33	261.76	560.35	300.89	25.30	1594.16	1.00	1201.29	35410.89	-37301.47	24727.98
Saccade L	1	70	6295158794	6295198788	39994	550.41	259.42	570.11	285.06	39.84	1583.89	1.00	996.27	15084.85	-20477.29	16927.35
Saccade L	1	71	6295258684	6295278635	19951	537.41	262.94	538.22	281.58	22.93	1538.43	1.00	1149.09	36024.10	-37268.67	24612.45
Saccade L	1	72	6295319635	6295338528	18893	534.70	263.15	553.96	268.20	21.68	1535.15	1.00	1147.68	35598.17	-36628.19	24463.02
Saccade L	1	73	6295378560	6295538436	159876	527.96	263.70	508.12	265.90	212.35	1535.15	1.00	1328.23	3.68	-35805.02	7506.65
Saccade L	1	74	6296976810	6296996643	19833	424.58	269.61	412.13	266.85	0.91	75.28	1.00	46.11	-723.76	-1523.71	1104.90
Saccade L	1	75	6302630409	6302650321	19912	374.80	342.94	369.88	406.54	2.11	162.97	1.00	105.76	3961.58	-3122.65	2576.14
