[BeGaze]
Converted from:	F:\1. ON ROAD - Track\009 JA\009 JA 20131012 Sleep Deprived\SMI\009 JA 201231012 - Sleep Deprived.idf
Date:	08.08.2014 16:34:41
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	009 JA 201231012 - Sleep Deprived
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Saccade L	1	1	5585120656	5585240582	119926	-116.83	174.05	-90.49	169.13	26.66	543.75	0.33	222.34	5970.07	-13323.78	4285.75
Saccade L	1	2	5585460225	5585481411	21186	-91.31	177.25	-92.68	177.75	0.06	4.09	0.00	2.93	59.69	-56.03	51.46
Saccade L	1	3	5586280550	5586299361	18811	133.61	233.98	144.16	233.31	0.47	28.75	0.00	24.79	-1.17	-310.39	132.61
Saccade L	1	4	5588178330	5588197259	18929	138.11	205.72	110.50	244.56	1.09	121.78	1.00	57.43	3003.66	-2951.11	2831.20
Saccade L	1	5	5588677194	5588696599	19405	489.97	214.31	463.85	227.59	0.50	74.87	1.00	25.60	1560.59	-967.63	886.35
Saccade L	1	6	5588877680	5588936358	58678	437.98	226.36	142.96	177.57	9.16	287.93	0.66	156.04	6596.88	-5048.10	4765.79
Saccade L	1	7	5589056294	5589077701	21407	104.11	156.65	70.56	137.56	0.76	98.64	1.00	35.59	2366.08	-2205.18	1739.37
Saccade L	1	8	5590394832	5590414739	19907	405.29	261.05	402.21	259.50	0.16	8.87	1.00	7.95	-1.42	-109.70	46.25
Saccade L	1	9	5591313823	5591333741	19918	381.23	240.27	352.16	246.61	0.83	76.06	1.00	41.55	1846.08	-1714.48	1711.75
Saccade L	1	10	5591613350	5591633443	20093	273.39	261.29	198.52	272.31	2.53	193.33	1.00	125.89	4710.71	-4592.09	3329.36
Saccade L	1	11	5593271815	5593291534	19719	382.48	241.01	394.45	248.73	0.48	53.13	0.00	24.33	897.70	-1145.39	956.17
Saccade L	1	12	5594430293	5594450277	19984	438.62	-41.38	7.03	769.67	16.80	2228.40	1.00	840.68	55710.03	-55495.76	46145.93
Saccade L	1	13	5594649977	5594709760	59783	-11.52	799.83	359.53	527.36	44.41	1591.52	1.00	742.91	37136.95	-39623.52	30875.90
Saccade L	1	14	5595129488	5595648865	519377	74.49	794.54	2.81	0.00	375.11	2024.64	0.62	722.23	50213.83	-48825.68	23088.29
Saccade L	1	15	5595848598	5595928487	79889	397.42	250.80	396.03	240.76	67.20	1183.89	0.00	841.13	29597.16	-29122.58	14742.68
Saccade L	1	16	5596168579	5596188373	19794	431.05	248.06	475.28	256.97	1.13	115.28	1.00	57.19	2840.24	-2783.69	2684.03
Saccade L	1	17	5596847512	5596867720	20208	522.63	217.81	541.56	200.43	0.45	65.69	1.00	22.33	1629.13	-1575.72	1090.20
Saccade L	1	18	5598885266	5598925278	40012	45.19	537.02	195.90	784.76	17.87	1317.07	1.00	446.68	32774.51	-32769.64	27493.58
