[BeGaze]
Converted from:	F:\1. ON ROAD - Track\010 NK\010 NK Sleep Deprived 20131207\SMI\010 NK 20131207 - Sleep Deprived.idf
Date:	08.08.2014 16:42:40
Version:	BeGaze 3.0.178
Sample Rate:	50
Subject:	010 NK 20131207 - Sleep Deprived
Description:	Run1

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Saccade L	1	1	6026232834	6026252887	20053	356.44	294.39	310.85	292.44	1.18	116.60	1.00	58.70	2888.84	-2581.36	2694.53
Saccade L	1	2	6026352710	6026392704	39994	265.06	284.66	272.83	284.84	22.63	1412.19	0.53	565.92	35237.22	-35053.49	35038.95
Saccade L	1	3	6028430444	6028450370	19926	349.77	304.57	353.81	305.10	0.18	10.60	0.00	9.27	96.37	-145.47	89.64
Saccade L	1	4	6031347092	6031367653	20561	340.78	282.84	412.84	279.81	1.86	184.26	1.00	90.23	4590.73	-4519.43	3370.36
Saccade L	1	5	6032246164	6032267148	20984	459.94	288.70	403.27	272.90	1.18	150.32	1.00	56.42	3572.12	-3529.63	2371.03
Saccade L	1	6	6032486055	6032505811	19756	442.50	245.66	495.85	237.30	1.65	148.41	0.00	83.54	2849.46	-3294.65	3086.91
Saccade L	1	7	6032945324	6032966016	20692	462.10	287.17	457.37	286.73	0.21	12.14	1.00	10.14	126.39	-35.86	68.76
Saccade L	1	8	6033524957	6033544698	19741	346.10	288.19	295.11	286.89	0.97	130.34	1.00	48.99	3058.52	-3172.78	2403.10
Saccade L	1	9	6034983069	6035003170	20101	349.36	287.53	421.53	288.46	1.76	184.38	1.00	87.41	4570.17	-4262.44	3723.20
Saccade L	1	10	6036101729	6036201809	100080	463.85	308.31	368.79	288.08	4.85	182.77	1.00	48.44	4449.06	-4288.27	1726.16
Saccade L	1	11	6036641268	6036661548	20280	350.79	271.35	423.80	273.65	1.44	186.61	1.00	71.00	4414.24	-4540.44	3212.09
Saccade L	1	12	6037700073	6037720121	20048	436.94	255.77	494.68	272.12	1.09	153.33	1.00	54.41	3801.59	-3701.06	2733.50
Saccade L	1	13	6039038654	6039058803	20149	308.11	248.16	381.30	253.55	1.69	187.50	1.00	83.77	4665.47	-4386.03	3883.95
Saccade L	1	14	6039438148	6039458405	20257	451.92	277.15	520.29	303.05	1.54	186.79	1.00	76.06	4654.35	-4521.23	3242.57
Saccade L	1	15	6039658182	6039697856	39674	541.93	312.70	542.43	310.05	22.76	1432.73	0.50	573.73	35769.45	-35790.20	35765.74
Saccade L	1	16	6039797852	6039837621	39769	542.54	311.21	507.17	301.68	24.74	1516.29	1.00	621.98	37877.87	-37648.61	35773.10
Saccade L	1	17	6041136199	6041176073	39874	417.61	298.82	415.12	310.28	31.07	1301.67	1.00	779.23	32253.47	-32334.17	24193.79
Saccade L	1	18	6041375843	6041395800	19957	398.25	326.55	345.50	285.48	1.30	170.81	1.00	64.95	4182.78	-4034.70	3223.63
Saccade L	1	19	6041735443	6041875300	139857	356.17	329.89	424.69	470.82	40.82	1579.24	1.00	291.89	39302.30	-39285.34	15661.76
Saccade L	1	20	6041975210	6042015195	39985	432.87	480.84	432.48	476.93	30.15	1880.48	0.50	754.14	46936.81	-46666.08	46742.04
Saccade L	1	21	6042115084	6042156022	40938	433.41	451.22	434.09	431.96	25.85	1559.33	0.49	631.39	38545.84	-38238.76	38034.21
Saccade L	1	22	6042455056	6042474738	19682	427.10	350.37	385.80	326.13	1.21	122.38	1.00	61.40	2542.56	-2850.16	2440.73
Saccade L	1	23	6043733350	6043753531	20181	372.28	351.31	373.66	337.13	0.27	36.42	1.00	13.33	849.68	-782.75	584.01
Saccade L	1	24	6044092789	6044112871	20082	431.02	376.82	433.94	377.50	0.15	10.13	1.00	7.66	-61.71	-116.65	84.70
Saccade L	1	25	6044612328	6044632330	20002	429.60	378.07	357.18	378.48	1.52	185.01	1.00	75.93	4564.34	-4546.15	3709.01
Saccade L	1	26	6044931915	6044952935	21020	308.39	386.78	239.60	385.32	2.59	175.80	1.00	123.13	4290.14	-3856.23	2819.43
